name,neighborhood,artist,address,created_date,thumbnail_url,medium_url,full_url,latitude,longitude
We Celebrate the Immigrants of Somerville,Spring Hill,Sargent,"24 Park St, Somerville, MA","Wed, 1997-01-01",http://www.somervilleartscouncil.org/sacfiles/imagecache/public_art_view/publicart/IMG_0689.jpg,http://www.somervilleartscouncil.org/sacfiles/imagecache/porchfest_photo/publicart/IMG_0689.jpg,http://www.somervilleartscouncil.org/sacfiles/publicart/IMG_0689.jpg,42.3818238,-71.1069493
found object garden,Spring Hill,Ruth Faris,"6 Spring Hill Terrace, Somerville, MA","",http://www.somervilleartscouncil.org/sacfiles/imagecache/public_art_view/publicart/ruths garden 2.jpg,http://www.somervilleartscouncil.org/sacfiles/imagecache/porchfest_photo/publicart/ruths garden 2.jpg,http://www.somervilleartscouncil.org/sacfiles/publicart/ruths garden 2.jpg,42.3892179,-71.1070539
metal sculpture,Spring Hill,"","134 Elm St, Somerville, MA","",http://www.somervilleartscouncil.org/sacfiles/imagecache/public_art_view/publicart/IMG_0633.jpg,http://www.somervilleartscouncil.org/sacfiles/imagecache/porchfest_photo/publicart/IMG_0633.jpg,http://www.somervilleartscouncil.org/sacfiles/publicart/IMG_0633.jpg,42.3907423,-71.11816329999999
Polka dot traffic light box,Spring Hill,D. English,"51 Willow Ave, Somerville, MA","Mon, 2001-01-01",http://www.somervilleartscouncil.org/sacfiles/imagecache/public_art_view/publicart/traffic light summer and cedar_0.JPG,http://www.somervilleartscouncil.org/sacfiles/imagecache/porchfest_photo/publicart/traffic light summer and cedar_0.JPG,http://www.somervilleartscouncil.org/sacfiles/publicart/traffic light summer and cedar_0.JPG,42.3928702,-71.1173
A Very Brief History of Somerville,Spring Hill,Anna Shapiro,"134 Elm St.                  
             Elm St. at Davenport St , Somerville, MA","Sun, 2005-05-01",http://www.somervilleartscouncil.org/sacfiles/imagecache/public_art_view/publicart/pic1.jpg,http://www.somervilleartscouncil.org/sacfiles/imagecache/porchfest_photo/publicart/pic1.jpg,http://www.somervilleartscouncil.org/sacfiles/publicart/pic1.jpg,42.3875968,-71.0994968
Patience,Spring Hill,Pauline Lim,"6 Spring Hill Terrace , Somerville, MA","Sat, 2011-12-31",http://www.somervilleartscouncil.org/sacfiles/imagecache/public_art_view/Patience72.jpg,http://www.somervilleartscouncil.org/sacfiles/imagecache/porchfest_photo/Patience72.jpg,http://www.somervilleartscouncil.org/sacfiles/Patience72.jpg,42.3892179,-71.1070539
Mystic River Mural,Ten Hills,David Fichter and Somerville youth,"530 Mystic Ave, Somerville, MA","Mon, 1996-01-01",http://www.somervilleartscouncil.org/sacfiles/imagecache/public_art_view/publicart/photo 2_2.JPG,http://www.somervilleartscouncil.org/sacfiles/imagecache/porchfest_photo/publicart/photo 2_2.JPG,http://www.somervilleartscouncil.org/sacfiles/publicart/photo 2_2.JPG,42.3977185,-71.0920033
Foss Park pool mural,Ten Hills,"Be ALlen, David Fitchter, Deanna Grande, Christina Kelly and teens","209 Broadway, Somerville, MA","Wed, 1992-01-01",http://www.somervilleartscouncil.org/sacfiles/imagecache/public_art_view/publicart/IMG_0425.JPG,http://www.somervilleartscouncil.org/sacfiles/imagecache/porchfest_photo/publicart/IMG_0425.JPG,http://www.somervilleartscouncil.org/sacfiles/publicart/IMG_0425.JPG,42.3899132,-71.088383
Broadway mural,Ten Hills,"","324 Braodway, Somerville, MA","",http://www.somervilleartscouncil.org/sacfiles/imagecache/public_art_view/publicart/IMG_0424.jpg,http://www.somervilleartscouncil.org/sacfiles/imagecache/porchfest_photo/publicart/IMG_0424.jpg,http://www.somervilleartscouncil.org/sacfiles/publicart/IMG_0424.jpg,42.3926802,-71.0936519
hidden faces mural,Union Square,"","379 Somerville Ave  Somerville, MA","",http://www.somervilleartscouncil.org/sacfiles/imagecache/public_art_view/publicart/photo 4-1.JPG,http://www.somervilleartscouncil.org/sacfiles/imagecache/porchfest_photo/publicart/photo 4-1.JPG,http://www.somervilleartscouncil.org/sacfiles/publicart/photo 4-1.JPG,42.381616,-71.100055
